question,golden_answer,llm_answer,system_answer,f1_score,error_type,relation_type
七里香是谁唱的,周杰伦,七里香是周杰伦唱的。,周杰伦,1.0,correct,歌手
青花瓷是谁唱的,周杰伦,青花瓷是周杰伦唱的。,周杰伦,1.0,correct,歌手
稻香是谁唱的,周杰伦,稻香是周杰伦唱的。,周杰伦,1.0,correct,歌手
双截棍是谁唱的,周杰伦,双截棍是周杰伦唱的。,周杰伦,1.0,correct,歌手
夜曲是谁唱的,周杰伦,夜曲是周杰伦唱的。,周杰伦,1.0,correct,歌手
发如雪是谁唱的,周杰伦,发如雪是周杰伦唱的。,周杰伦,1.0,correct,歌手
搁浅是谁唱的,周杰伦,搁浅是周杰伦唱的。,周杰伦,1.0,correct,歌手
龙卷风是谁唱的,周杰伦,龙卷风是周杰伦唱的。,周杰伦,1.0,correct,歌手
外婆是谁唱的,周杰伦,外婆是周杰伦唱的。,周杰伦,1.0,correct,歌手
布拉格广场是谁唱的,蔡依林,布拉格广场是蔡依林唱的。,周杰伦,0.0,wrong_retrieval,歌手
骑士精神是谁唱的,蔡依林,骑士精神是蔡依林唱的。,蔡依林,1.0,correct,歌手
海盗是谁唱的,蔡依林,海盗是蔡依林唱的。,蔡依林,1.0,correct,歌手
刀马旦是谁唱的,李玟,刀马旦是李玟唱的。,李玟,1.0,correct,歌手
淘汰是谁唱的,陈奕迅,淘汰是陈奕迅唱的。,陈奕迅,1.0,correct,歌手
听见下雨的声音是谁唱的,魏如昀,听见下雨的声音是魏如昀唱的。,魏如昀,1.0,correct,歌手
不该是谁唱的,张惠妹,不应该是张惠妹唱的。,张惠妹,1.0,correct,歌手
千里之外是谁唱的,费玉清,千里之外是费玉清唱的。,费玉清,1.0,correct,歌手
比较大的大提琴是谁唱的,梁心颐,比较大的大提琴是梁心颐唱的。,杨瑞代,0.0,wrong_retrieval,歌手
珊瑚海是谁唱的,梁心颐,珊瑚海是梁心颐唱的。,梁心颐,1.0,correct,歌手
蛇舞是谁唱的,梁心颐,蛇舞是梁心颐唱的。,梁心颐,1.0,correct,歌手
流浪诗人是谁唱的,杨瑞代,流浪诗人是杨瑞代唱的。,杨瑞代,1.0,correct,歌手
等你下课是谁唱的,杨瑞代,等你下课是杨瑞代唱的。,杨瑞代,1.0,correct,歌手
爱的飞行日记是谁唱的,杨瑞代,爱的飞行日记是杨瑞代唱的。,杨瑞代,1.0,correct,歌手
夜的第七章是谁唱的,潘儿,夜的第七章是潘儿唱的。,潘儿,1.0,correct,歌手
祝我生日快乐是谁唱的,温岚,祝我生日快乐是温岚唱的。,温岚,1.0,correct,歌手
公公偏头痛是谁唱的,周杰伦,公公偏头痛是周杰伦唱的。,周杰伦,1.0,correct,歌手
告白气球是谁唱的,周杰伦,告白气球是周杰伦唱的。,周杰伦,1.0,correct,歌手
床边故事是谁唱的,周杰伦,床边故事是周杰伦唱的。,周杰伦,1.0,correct,歌手
Now You See Me是谁唱的,周杰伦,Now You See Me是周杰伦唱的。,周杰伦,1.0,correct,歌手
她的睫毛是谁唱的,周杰伦,她的睫毛是周杰伦唱的。,周杰伦,1.0,correct,歌手
园游会是谁唱的,周杰伦,园游会是周杰伦唱的。,周杰伦,1.0,correct,歌手
美人鱼是谁唱的,周杰伦,美人鱼是周杰伦唱的。,周杰伦,1.0,correct,歌手
借口是谁唱的,周杰伦,借口是周杰伦唱的。,周杰伦,1.0,correct,歌手
听妈妈的话是谁唱的,周杰伦,听妈妈的话是周杰伦唱的。,周杰伦,1.0,correct,歌手
简单爱是谁唱的,周杰伦,简单爱是周杰伦唱的。,周杰伦,1.0,correct,歌手
以父之名是谁唱的,周杰伦,以父之名是周杰伦唱的。,周杰伦,1.0,correct,歌手
回到过去是谁唱的,周杰伦,回到过去是周杰伦唱的。,周杰伦,1.0,correct,歌手
最后的战役是谁唱的,周杰伦,最后的战役是周杰伦唱的。,周杰伦,1.0,correct,歌手
我的地盘是谁唱的,周杰伦,我的地盘是周杰伦唱的。,周杰伦,1.0,correct,歌手
谁唱的七里香,周杰伦,七里香是周杰伦唱的。,周杰伦,1.0,correct,歌手
谁唱的青花瓷,周杰伦,青花瓷是周杰伦唱的。,周杰伦,1.0,correct,歌手
谁唱的夜曲,周杰伦,夜曲是周杰伦唱的。,周杰伦,1.0,correct,歌手
谁唱的布拉格广场,蔡依林,布拉格广场是蔡依林唱的。,周杰伦,0.0,wrong_retrieval,歌手
谁唱的海盗,蔡依林,海盗是蔡依林唱的。,蔡依林,1.0,correct,歌手
谁唱的刀马旦,李玟,刀马旦是李玟唱的。,李玟,1.0,correct,歌手
谁唱的淘汰,陈奕迅,淘汰是陈奕迅唱的。,陈奕迅,1.0,correct,歌手
谁唱的屋顶,温岚,屋顶是温岚唱的。,温岚,1.0,correct,歌手
谁唱的珊瑚海,梁心颐,珊瑚海是梁心颐唱的。,梁心颐,1.0,correct,歌手
谁唱的告白气球,周杰伦,告白气球是周杰伦唱的。,周杰伦,1.0,correct,歌手
演唱七里香的歌手是,周杰伦,演唱七里香的歌手是周杰伦。,周杰伦,1.0,pattern_mismatch,歌手
演唱青花瓷的歌手是,周杰伦,演唱青花瓷的歌手是周杰伦。,周杰伦,1.0,pattern_mismatch,歌手
演唱夜曲的歌手是,周杰伦,演唱夜曲的歌手是周杰伦。,周杰伦,1.0,pattern_mismatch,歌手
演唱发如雪的歌手是,周杰伦,演唱发如雪的歌手是周杰伦。,周杰伦,1.0,pattern_mismatch,歌手
演唱布拉格广场的歌手是,蔡依林,演唱布拉格广场的歌手是蔡依林。,周杰伦,0.0,pattern_mismatch,歌手
演唱骑士精神的歌手是,蔡依林,演唱骑士精神的歌手是蔡依林。,蔡依林,1.0,pattern_mismatch,歌手
演唱海盗的歌手是,蔡依林,演唱海盗的歌手是蔡依林。,蔡依林,1.0,pattern_mismatch,歌手
演唱刀马旦的歌手是,李玟,演唱刀马旦的歌手是李玟。,李玟,1.0,pattern_mismatch,歌手
演唱淘汰的歌手是,陈奕迅,演唱淘汰的歌手是陈奕迅。,陈奕迅,1.0,pattern_mismatch,歌手
歌曲七里香的作词人是,方文山,歌曲七里香的作词人是方文山。,方丈山,0.0,wrong_retrieval,作词
歌曲青花瓷的作词人是,方文山,歌曲青花瓷的作词人是方文山。,方文山,1.0,correct,作词
